int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Charmouth,3,3,2004,2004,2001,2006,283289351,177686403,1079,1757,1604,932,26,1976
Saint Leonards-On-Sea,101,37,2002,2001,2000,1999,42583016,52304759,230,528,344,299,41,3077
Brixham,83,76,2001,2003,2008,2008,4610778461,3503961844,697,1854,3591,3546,496,38136
Peacehaven,21,19,1996,1996,2008,2008,316455854,514570433,582,1049,2311,2371,43,3319
Eastbourne,95,41,2003,2001,2004,2004,82044508,116211804,161,578,229,207,42,3168
Harwich,528,66,2009,2005,2010,2010,4108331165,3404267961,116,530,155,204,580,43677
Sharpness,68,55,2003,2003,2002,2002,117191417,174544263,591,670,631,618,36,2705
Bembridge,93,70,2004,2005,2008,2008,1241143766,1338477606,214,862,753,935,199,15148
Ferrybridge,23,18,1997,2001,2006,2008,3806052177,2736460317,511,3144,7944,6957,277,21453
Boston,313,74,1994,2000,1997,1997,219922560,317552154,211,683,388,396,80,6024
Scapa Bay,64,53,2006,2006,2009,2009,8100005923,14729955425,841,2230,2348,2387,849,64843
Howdon,397,118,2003,2007,2006,2009,6106834098,4447884644,334,656,577,908,647,48848
Pettycur,1,1,2013,2013,2013,2013,108564,63660,399,399,399,399,0,32
Milford Haven,230,107,2007,2010,2012,2012,11568110866,12549058017,200,1594,2299,2006,1453,98341
Torquay Harbour,19,19,2000,2000,1994,2000,66848247,45939551,549,669,497,701,20,1487
Wallsend,60,55,2006,2006,2008,2008,823599480,835431788,433,1280,1799,1721,247,18830
Poole,531,78,1995,1999,2000,2003,1584525957,1190112812,125,704,264,465,495,37605
Tynemouth,9,9,2006,2006,2011,2012,19111382,26920038,28,261,163,206,8,617
Etrick Field,36,34,2003,2003,2005,2005,380010844,614444676,369,609,879,916,66,5008
Plymouth,456,167,2004,2002,2006,2005,2489078480,1411715718,365,805,331,581,593,44786
Dungeness,103,58,1999,1999,2006,2007,611864043,900232955,236,918,1696,1719,103,7522
Thamesport,341,82,2000,2005,2005,2006,1047962163,1580051990,175,402,424,441,342,25757
Isle Of Grain,38,34,2009,2010,2012,2012,9350657594,7373742884,1813,2320,2580,2546,1184,73097
Lossiemouth,22,18,2005,2004,2008,2008,50474149,70446134,680,689,683,715,18,1382
Barrow-In-Furness,49,37,2006,2005,2005,2005,126266613,111544238,732,2232,1055,1037,130,9764
Hatston,38,26,2000,2000,2006,2004,1058981143,123947169,551,521,637,589,224,17128
Ullapool,13,12,1975,1975,1981,1982,21724726,10479384,2567,2960,503,1153,45,3356
