int_arr_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Vikkilen,3,3,2007,2007,2010,2009,5015506,5572640,359,333,209,206,5,386
Brensholmen,5,5,1994,1994,1995,1995,4458123,5735638,459,636,587,641,3,201
Frekhaug,2,2,1996,1996,2006,2004,455645,44029,521,521,553,489,2,184
Forsol,5,4,1994,1995,2002,2004,746370,536954,79,167,207,205,2,131
Atloy,6,5,2002,2002,2004,2006,2761775,1990031,323,502,381,289,3,239
Hekkelstrand,2,2,2006,2006,2000,2000,7225074,10685743,1224,1224,1588,1565,2,172
Stokkvaagan,4,4,2006,2006,2012,2011,44068187,6576877,594,3953,4990,2955,21,1589
Hufthamer,2,2,2002,2002,1998,1994,2317484,469928,2524,2524,652,535,6,465
Lovund,8,4,1995,1998,1990,1990,9080109,16201055,781,422,619,705,10,794
Lura,1,1,1995,1995,1995,1995,1036869,1426650,510,510,510,510,0,27
Grovfjord,2,2,1998,1998,2015,2015,55794,18777,130,130,78,34,3,220
Steinshamn,5,5,1991,1991,2012,2012,55511046,81110336,618,444,621,625,6,429
Lessremman,3,3,1998,1998,2000,2001,37543323,54985893,802,822,830,833,5,394
Leirpollen,28,11,1992,1997,1993,1993,184903961,262127730,1393,1131,1284,1280,52,3974
Hemnesberget,2,2,1987,1987,1982,1982,6297342,9166778,877,877,997,1055,3,214
Sykkylven,5,5,2001,2001,2003,2001,14690321,11521821,513,558,582,561,6,460
Brandsfjord,1,1,2007,2007,2007,2007,2272162,1605541,642,642,642,642,1,102
Fitjar,6,6,2007,2007,2002,2002,65466954,80590780,172,3344,5411,6809,35,2624
Hagavika,9,6,1999,1994,2007,2008,63763977,75388113,891,2917,2074,2286,25,1883
Leka,1,1,2016,2016,2016,2016,16107,30777,103,103,103,103,0,15
Kvalsund,2,2,2006,2006,2007,2006,706586,553803,733,733,737,685,1,89
Gutvik,3,3,2006,2006,2005,2006,13657657,16872106,704,900,767,714,4,316
Borkenes,3,3,2011,2011,2016,2016,121598989,211523349,694,1399,3324,3470,14,1085
Botnhamn,4,4,1991,1991,1981,1981,9660663,8131242,208,1098,2283,2189,4,338
Hammarvika - Froya,2,2,2007,2007,2013,2013,12135,5887,23,23,12,9,0,36
Jovik,2,2,1980,1980,1993,1981,3003069,1147262,1186,1186,1174,1185,6,465
Flatoy,2,2,2014,2014,2014,2014,5534148,4257037,507,507,507,507,1,110
Igeroy,3,3,1998,1998,2011,2009,9312478,1252393,1101,1208,1519,1423,9,653
Bronnoysund,4,4,1997,1997,1999,2001,12262607,10609596,190,350,739,749,5,382
Svolvar Osan,5,5,1991,1991,1988,1988,9197020,1908815,18,1138,2045,994,11,810
Hvaler,4,1,1980,1980,1980,1980,659987,171108,988,988,873,873,6,488
Aukra,7,7,2004,2004,2003,1991,17842465,12761298,543,1419,1555,2034,17,1259
Sistranda,3,3,1996,1996,1997,1998,4824407,5707030,611,628,624,629,1,95
Alvika,4,4,2001,2001,2004,2005,9942670,10297126,695,698,705,686,4,297
Kaupanger,6,6,1982,1982,1990,1984,4475518,4057263,100,238,372,494,30,2266
Nordfosen,21,4,1997,1998,2001,2004,96795815,88550831,682,714,684,684,40,3078
Lysebotn,2,1,1969,1969,1969,1969,2541963,974315,781,781,781,781,3,215
Fusa,3,3,2004,2004,2004,2004,9246910,14145841,1020,836,667,663,3,206
Skorgeneset,9,5,2003,1999,2006,2005,44531591,53201070,833,856,939,928,10,725
Torjulvagen,1,1,2004,2004,2004,2004,6431250,7890327,1229,1229,1229,1229,2,133
Stavneset - Rissa,3,1,2010,2010,2010,2010,47543,23709,40,40,42,42,0,6
