int_dep_port,n_vys,n_imo,aby_vys,aby_flt,aby_gt_nm,aby_dwt_nm,tps_gt_nm,tps_dwt_nm,avd_vys,avd_flt,avd_gt_nm,avd_dwt_nm,ene_tj,co2_t
Port Alberni,22,15,1997,2000,2013,2013,1348308743,2163194610,4160,3325,4674,4708,143,10952
Chemainus,12,8,1980,1985,2009,2009,113493303,187465527,220,740,1210,1189,17,1263
St Zotique,12,9,2003,2000,2006,2005,315194879,439274641,3497,2899,3695,3650,72,5515
Bald Rock,34,26,2004,2004,2005,2009,2545747244,1782560026,955,1467,1658,1890,363,27545
Argentia,50,17,2007,2007,2007,2007,1067296669,1507025458,1629,2182,1844,1862,233,17746
North Sydney,5,5,2008,2008,2016,2017,593349639,1063886886,797,3227,5455,9416,50,3863
Pointe Aux Trembles,59,52,2009,2009,2009,2009,4116449218,6726376889,3459,3073,3205,3231,603,45936
Midland,10,2,1986,1991,1976,1969,38442699,47731810,301,285,302,296,7,551
Ile Aux Coudres,8,8,2005,2005,2011,2011,219251096,308478638,2890,2431,2722,2704,51,3889
Beresford,27,26,2011,2011,2012,2012,1471132820,2440388955,2767,2475,2279,2258,177,13530
Cowichan Bay,15,15,2004,2004,2007,2007,3066331625,5815816459,4320,3826,4461,4497,201,15518
Milne Inlet Port,54,28,2011,2011,2012,2012,7258517404,13257025800,3213,3212,3428,3439,776,59827
Port Alfred,64,41,2011,2011,2012,2013,4203461277,7112446010,2598,2596,2454,2404,462,35155
Coley'S Point,20,14,1996,1996,2007,2007,580269823,759334146,2829,4253,4099,3735,133,10080
Picton,29,10,1997,1982,2011,2011,141397386,205818307,74,672,607,575,18,1354
Welland,25,22,1997,1997,2000,2001,138779480,215840690,239,315,322,323,19,1428
Amherstburg,22,15,1984,1989,2002,2002,182333265,271568449,136,679,853,832,56,4234
Goderich,71,21,1989,1989,1995,1994,344261164,494996402,224,228,273,269,45,3411
Becancour,43,37,2009,2009,2010,2011,2274262051,3571161049,2821,2729,2774,2819,323,24629
Saint Ignace,33,32,2008,2008,2009,2009,2203250316,3528104748,3219,3655,3260,3303,293,22365
Harbor Grace,10,9,2000,2000,2006,2006,400977693,538937350,2499,4347,2922,2673,77,5816
Canso,6,5,1998,1999,2005,2005,1495703818,2827600631,2199,3781,5095,5315,93,7174
Saint-Anthony,15,6,2001,1991,2002,2004,163780031,148641080,1333,1978,1573,1461,53,4077
Sombra,20,15,1980,1976,1981,1981,57999620,103215160,133,166,160,159,13,941
Blacks Harbour,90,3,1995,1999,1998,1995,3771372,2351715,108,111,138,136,7,511
Deer Island,3,3,1989,1989,1998,1997,974400,260705,503,1103,1346,807,4,273
Clarkson,10,8,1985,1983,2006,2006,168593681,243998791,238,1136,1211,1193,45,3425
Gold River,8,6,2005,2001,2016,2016,384413307,648061510,434,1936,2559,2530,33,2548
Squamish,10,9,2004,2003,2005,2005,877893303,1253446828,3353,2893,3218,3186,93,7162
Stormont,4,4,2001,2001,1996,1993,243402,165814,131,146,75,94,4,291
Rimouski,8,8,2007,2007,2008,2007,375229904,600104705,3043,2475,2769,2835,60,4569
Port Simpson,39,6,1975,1976,1980,1978,1825968,1902461,152,357,263,247,14,1054
Saint-Pascal,6,5,2008,2008,2008,2008,252280699,353604342,2876,2539,1980,1819,56,4236
Saint Jean,7,7,2007,2007,2013,2013,2834244472,5516565455,7558,7289,10324,10709,174,13399
Kitimat,45,35,2004,2005,2003,2003,4324429672,6466491008,3965,2826,3346,3270,448,34422
Sayward,12,11,1983,1980,2005,2004,8512486,7221016,236,1647,2050,1966,25,1896
